,timestamp 23-06-2021 13:05:23,MAC address,Epoch 0
177,,0000000000b111000101,
130,,000000000b1000010011,
80,,000000000b1001101010,
2,,000000000b1110100001,
12,,000000000b1110101010,
5,,00000000b10100010000,
96,,0000000b100001000110,
93,,0000000b101000101101,
73,,0000000b101000110100,
117,,0000000b101001011011,
83,,0000000b101010001100,
137,,0000000b101100100010,
47,,0000000b101101000100,
163,,0000000b101110111010,
164,,0000000b110100011111,
165,,0000000b110101100001,
170,,0000000b110111101000,
75,,0000000b111100000110,
49,,0000000b111110010100,
101,,0000000b111111101111,
116,,000000b1000101110110,
147,,000000b1001001001111,
59,,000000b1001010100001,
16,,000000b1001101100011,
142,,000000b1010010001010,
146,,000000b1010010111001,
136,,000000b1010111101111,
23,,000000b1010111110001,
168,,000000b1011010011100,
24,,000000b1011010110001,
154,,000000b1011011010010,
87,,000000b1011110011010,
4,,000000b1011110101110,
17,,000000b1011111100000,
40,,000000b1100000100101,
50,,000000b1100001011110,
64,,000000b1100010000011,
21,,000000b1100011011000,
65,,000000b1101001000000,
43,,000000b1101010110101,
18,,000000b1101101000101,
90,,000000b1101110101010,
41,,000000b1101111100001,
118,,000000b1110010000111,
57,,000000b1110011011011,
27,,000000b1110011101110,
28,,000000b1111010111110,
25,,00000b10000000101000,
14,,00000b10000000101011,
67,,00000b10000011011010,
167,,00000b10000100110100,
162,,00000b10000101001011,
133,,00000b10000101111100,
99,,00000b10000111010011,
88,,00000b10010101101001,
84,,00000b10011010100001,
34,,00000b10011011110110,
114,,00000b10100110010111,
15,,00000b10100111110110,
