,timestamp 23-06-2021 15:47:07,MAC address,Epoch 0
0,,000000000000b1001100,
1,,00000000000b10001110,
2,,00000000000b10011010,
3,,00000000000b10110100,
4,,0000000000b100101000,
5,,0000000000b101000011,
6,,000000000b1010101011,
7,,000000000b1011000100,
8,,000000000b1101101001,
9,,000000000b1111110010,
10,,00000000b10001101110,
11,,00000000b10101100011,
12,,00000000b11000001001,
13,,00000000b11001101100,
14,,00000000b11010000100,
15,,00000000b11100011001,
16,,00000000b11110110101,
17,,0000000b100000101000,
18,,0000000b100100001101,
19,,0000000b100111011000,
20,,0000000b101010000111,
21,,0000000b101010100011,
22,,0000000b101010110100,
23,,0000000b101101110111,
24,,0000000b101110111001,
25,,0000000b110000000000,
26,,0000000b110010000010,
27,,0000000b110101010000,
28,,0000000b110110110010,
29,,0000000b111000100111,
30,,0000000b111001010111,
31,,0000000b111001100111,
32,,0000000b111001101011,
33,,0000000b111101010000,
34,,0000000b111111001000,
35,,000000b1000010000101,
36,,000000b1000011100110,
37,,000000b1000110101001,
38,,000000b1000111000011,
39,,000000b1001000011010,
40,,000000b1001000011101,
41,,000000b1001100010110,
42,,000000b1001110011001,
43,,000000b1010001101101,
44,,000000b1010100100101,
45,,000000b1010101010100,
46,,000000b1011000100111,
47,,000000b1011110101001,
48,,000000b1100010011111,
49,,000000b1100010101011,
50,,000000b1100100011011,
51,,000000b1100100011100,
52,,000000b1100110010101,
53,,000000b1101001001111,
54,,000000b1101100010101,
55,,000000b1101110010011,
56,,000000b1101111001010,
57,,000000b1101111110100,
58,,000000b1111000010101,
59,,000000b1111100100010,
60,,000000b1111110000100,
61,,000000b1111110010010,
62,,00000b10000011010000,
63,,00000b10000011010010,
64,,00000b10000100011101,
65,,00000b10000101110111,
66,,00000b10000101111101,
67,,00000b10000110011011,
68,,00000b10001010110011,
69,,00000b10001100111111,
70,,00000b10010000100110,
71,,00000b10010001101011,
72,,00000b10010010101110,
73,,00000b10010110001011,
74,,00000b10011101010101,
75,,00000b10011101100100,
76,,00000b10011111010100,
77,,00000b10100000000110,
78,,00000b10100000101001,
79,,00000b10100010111010,
80,,00000b10100110101110,
81,,00000b10100111001011,
82,,00000b10101000001111,
83,,00000b10101001010001,
84,,00000b10101001111110,
85,,00000b10101011100010,
86,,00000b10101101011000,
87,,00000b10101111011001,
88,,00000b10110000110100,
89,,00000b10110010100001,
90,,00000b10110011001010,
91,,00000b10110011101100,
92,,000000000000b1001100,
93,,00000000000b10001110,
94,,00000000000b10011010,
95,,00000000000b10110100,
96,,0000000000b100101000,
97,,0000000000b101000011,
98,,000000000b1010101011,
99,,000000000b1011000100,
100,,000000000b1101101001,
101,,000000000b1111110010,
102,,00000000b10001101110,
103,,00000000b10101100011,
104,,00000000b11000001001,
105,,00000000b11001101100,
106,,00000000b11010000100,
107,,00000000b11100011001,
108,,00000000b11110110101,
109,,0000000b100000101000,
110,,0000000b100100001101,
111,,0000000b100111011000,
112,,0000000b101010000111,
113,,0000000b101010100011,
114,,0000000b101010110100,
115,,0000000b101101110111,
116,,0000000b101110111001,
117,,0000000b110000000000,
118,,0000000b110010000010,
119,,0000000b110101010000,
120,,0000000b110110110010,
121,,0000000b111000100111,
122,,0000000b111001010111,
123,,0000000b111001100111,
124,,0000000b111001101011,
125,,0000000b111101010000,
126,,0000000b111111001000,
127,,000000b1000010000101,
128,,000000b1000011100110,
129,,000000b1000110101001,
130,,000000b1000111000011,
131,,000000b1001000011010,
132,,000000b1001000011101,
133,,000000b1001100010110,
134,,000000b1001110011001,
135,,000000b1010001101101,
136,,000000b1010100100101,
137,,000000b1010101010100,
138,,000000b1011000100111,
139,,000000b1011110101001,
140,,000000b1100010011111,
141,,000000b1100010101011,
142,,000000b1100100011011,
143,,000000b1100100011100,
144,,000000b1100110010101,
145,,000000b1101001001111,
146,,000000b1101100010101,
147,,000000b1101110010011,
148,,000000b1101111001010,
149,,000000b1101111110100,
150,,000000b1111000010101,
151,,000000b1111100100010,
152,,000000b1111110000100,
153,,000000b1111110010010,
154,,00000b10000011010000,
155,,00000b10000011010010,
156,,00000b10000100011101,
157,,00000b10000101110111,
158,,00000b10000101111101,
159,,00000b10000110011011,
160,,00000b10001010110011,
161,,00000b10001100111111,
162,,00000b10010000100110,
163,,00000b10010001101011,
164,,00000b10010010101110,
165,,00000b10010110001011,
166,,00000b10011101010101,
167,,00000b10011101100100,
168,,00000b10011111010100,
169,,00000b10100000000110,
170,,00000b10100000101001,
171,,00000b10100010111010,
172,,00000b10100110101110,
173,,00000b10100111001011,
174,,00000b10101000001111,
175,,00000b10101001010001,
176,,00000b10101001111110,
177,,00000b10101011100010,
178,,00000b10101101011000,
179,,00000b10101111011001,
180,,00000b10110000110100,
181,,00000b10110010100001,
182,,00000b10110011001010,
183,,00000b10110011101100,
184,,000000000000b1001100,
185,,00000000000b10001110,
186,,00000000000b10011010,
187,,00000000000b10110100,
188,,0000000000b100101000,
189,,0000000000b101000011,
190,,000000000b1010101011,
191,,000000000b1011000100,
192,,000000000b1101101001,
193,,000000000b1111110010,
194,,00000000b10001101110,
195,,00000000b10101100011,
196,,00000000b11000001001,
197,,00000000b11001101100,
198,,00000000b11010000100,
199,,00000000b11100011001,
200,,00000000b11110110101,
201,,0000000b100000101000,
202,,0000000b100100001101,
203,,0000000b100111011000,
