,timestamp 28-06-2021 20:21:54,MAC address,Epoch 3
19,,000000b1100100001100,
44,,000000b1100100001100,
0,,00000000000000b11010,
1,,000000000000b1110001,
2,,000000000000b1110010,
3,,00000000000b10010101,
4,,00000000000b10011100,
5,,00000000000b10101000,
6,,00000000000b11001100,
7,,00000000000b11010110,
8,,0000000000b100001011,
9,,0000000000b100011001,
10,,0000000000b100101010,
11,,0000000000b110010101,
12,,0000000000b110110000,
13,,0000000000b111110101,
14,,000000000b1010110010,
15,,000000000b1011010000,
16,,000000000b1011110001,
17,,000000000b1011111011,
18,,000000000b1101111110,
19,,000000000b1111011010,
20,,00000000b10001010010,
21,,00000000b10010001011,
22,,00000000b10011000000,
23,,00000000b10011000100,
24,,00000000b10100100010,
25,,00000000b10100100100,
26,,00000000b10101001001,
27,,00000000b10101101110,
28,,00000000b10110100001,
29,,00000000b10111111010,
30,,00000000b11011110100,
31,,00000000b11111101010,
32,,0000000b100000110101,
33,,0000000b100001011110,
34,,0000000b100010001010,
35,,0000000b100011000110,
36,,0000000b100100111110,
37,,0000000b100101010011,
38,,0000000b100111011111,
39,,0000000b101001000111,
40,,0000000b101001011011,
41,,0000000b101001100000,
42,,0000000b101001111111,
43,,0000000b101010001100,
44,,0000000b101010111000,
45,,0000000b101010111110,
46,,0000000b101011100010,
47,,0000000b101100101100,
48,,0000000b101101100110,
49,,0000000b101110000011,
50,,0000000b101110100111,
51,,0000000b110000100001,
52,,0000000b110010001101,
53,,0000000b110010111100,
54,,0000000b110100000010,
55,,0000000b110100011010,
56,,0000000b110111010101,
57,,0000000b111011000000,
58,,0000000b111101000000,
59,,0000000b111101011001,
60,,0000000b111110010100,
61,,0000000b111110010111,
62,,0000000b111111000011,
63,,00000000000000b11010,
64,,000000000000b1110001,
65,,000000000000b1110010,
66,,00000000000b10010101,
67,,00000000000b10011100,
68,,00000000000b10101000,
69,,00000000000b11001100,
70,,00000000000b11010110,
71,,0000000000b100001011,
72,,0000000000b100011001,
73,,0000000000b100101010,
74,,0000000000b110010101,
75,,0000000000b110110000,
76,,0000000000b111110101,
77,,000000000b1010110010,
78,,000000000b1011010000,
79,,000000000b1011110001,
80,,000000000b1011111011,
81,,000000000b1101111110,
82,,000000000b1111011010,
83,,00000000b10001010010,
84,,00000000b10010001011,
85,,00000000b10011000000,
86,,00000000b10011000100,
87,,00000000b10100100010,
88,,00000000b10100100100,
89,,00000000b10101001001,
90,,00000000b10101101110,
91,,00000000b10110100001,
92,,00000000b10111111010,
93,,00000000b11011110100,
94,,00000000b11111101010,
95,,0000000b100000110101,
96,,0000000b100001011110,
97,,0000000b100010001010,
98,,0000000b100011000110,
99,,0000000b100100111110,
100,,0000000b100101010011,
101,,0000000b100111011111,
102,,0000000b101001000111,
103,,0000000b101001011011,
104,,0000000b101001100000,
105,,0000000b101001111111,
106,,0000000b101010001100,
107,,0000000b101010111000,
108,,0000000b101010111110,
109,,0000000b101011100010,
110,,0000000b101100101100,
111,,0000000b101101100110,
112,,0000000b101110000011,
113,,0000000b101110100111,
114,,0000000b110000100001,
115,,0000000b110010001101,
116,,0000000b110010111100,
117,,0000000b110100000010,
118,,0000000b110100011010,
119,,0000000b110111010101,
120,,0000000b111011000000,
121,,0000000b111101000000,
122,,0000000b111101011001,
123,,0000000b111110010100,
124,,0000000b111110010111,
125,,0000000b111111000011,
