,timestamp 25-06-2021 02:33:31,MAC address,Epoch 3
0,,00000000000b10001111,
1,,00000000000b11000011,
2,,000000000b1010011001,
3,,000000000b1110101010,
4,,00000000b10000011111,
5,,00000000b10110111001,
6,,00000000b11001111011,
7,,00000000b11011110001,
8,,0000000b100000010111,
9,,0000000b100000111010,
10,,0000000b101010000010,
11,,0000000b101110010111,
12,,0000000b101111101000,
13,,0000000b110110101111,
14,,0000000b111110010001,
15,,000000b1000100111101,
16,,000000b1001111100111,
17,,000000b1010000010110,
18,,000000b1010000111010,
19,,000000b1010001011111,
20,,00000b10001010001101,
21,,00000b10001101111001,
22,,00000b10010110100010,
23,,00000b10011001110110,
24,,00000b10011101100010,
25,,00000b10100001101001,
26,,00000b10100111110110,
27,,00000b10101110101010,
28,,00000b10101110110100,
29,,00000b10110100001100,
30,,00000b10110100010011,
31,,00000b10110101001101,
32,,00000b10111010011011,
33,,00000000000b10001111,
34,,00000000000b11000011,
35,,000000000b1010011001,
36,,000000000b1110101010,
37,,00000000b10000011111,
38,,00000000b10110111001,
39,,00000000b11001111011,
40,,00000000b11011110001,
41,,0000000b100000010111,
42,,0000000b100000111010,
43,,0000000b101010000010,
44,,0000000b101110010111,
45,,0000000b101111101000,
46,,0000000b110110101111,
47,,0000000b111110010001,
48,,000000b1000100111101,
49,,000000b1001111100111,
50,,000000b1010000010110,
51,,000000b1010000111010,
52,,000000b1010001011111,
53,,00000b10001010001101,
54,,00000b10001101111001,
55,,00000b10010110100010,
56,,00000b10011001110110,
57,,00000b10011101100010,
58,,00000b10100001101001,
59,,00000b10100111110110,
60,,00000b10101110101010,
61,,00000b10101110110100,
62,,00000b10110100001100,
63,,00000b10110100010011,
64,,00000b10110101001101,
65,,00000b10111010011011,
66,,00000000000b10001111,
67,,00000000000b11000011,
68,,000000000b1010011001,
69,,000000000b1110101010,
70,,00000000b10000011111,
71,,00000000b10110111001,
72,,00000000b11001111011,
73,,00000000b11011110001,
74,,0000000b100000010111,
75,,0000000b100000111010,
76,,0000000b101010000010,
77,,0000000b101110010111,
78,,0000000b101111101000,
79,,0000000b110110101111,
80,,0000000b111110010001,
81,,000000b1000100111101,
82,,000000b1001111100111,
83,,000000b1010000010110,
84,,000000b1010000111010,
85,,000000b1010001011111,
86,,00000b10001010001101,
87,,00000b10001101111001,
88,,00000b10010110100010,
89,,00000b10011001110110,
90,,00000b10011101100010,
91,,00000b10100001101001,
92,,00000b10100111110110,
93,,00000b10101110101010,
94,,00000b10101110110100,
95,,00000b10110100001100,
96,,00000b10110100010011,
97,,00000b10110101001101,
98,,00000b10111010011011,
